County,Community,DataProvider,Site,Latitude,Longitude,Elevation,Instrument,MonitorId,ParameterId,Parameter,MeasurementStartTime,MeasuredValue,AdjustedValue,Units,AdjustmentDesc,DataProviderFlag,LowerLimitCheck,UpperLimitCheck,RepeatingValueCheck,SpikeCheck,PreliminaryQCResult,VerifiedByProvider,LastUpdateDate
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/03/2019 20:00:00,931.1666,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/03/2019 21:00:00,909.7333,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/03/2019 22:00:00,1146.3166,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/03/2019 23:00:00,1408.75,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/04/2019 00:00:00,1309.5999,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/04/2019 01:00:00,1091.0167,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/04/2019 02:00:00,1258.2166,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/04/2019 03:00:00,1653.0833,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/04/2019 04:00:00,1629.6999,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
San Bernardino,"Muscoy, San Bernardino",South Coast AQMD,San Bernardino,34.1067,-117.2741,316,Magee AE33,AE33-SNBO,88313,Black Carbon PM2.5 (BC),09/04/2019 05:00:00,1500.3555,,ng/m3 (25 C),,,Pass,Pass,Pass,Pass,Passed all checks,No,
