County,Community,DataProvider,Site,Latitude,Longitude,Elevation,Instrument,MonitorId,ParameterId,Parameter,MeasurementStartTime,MeasuredValue,AdjustedValue,Units,AdjustmentDesc,DataProviderFlag,LowerLimitCheck,UpperLimitCheck,RepeatingValueCheck,SpikeCheck,PreliminaryQCResult,VerifiedByProvider,LastUpdateDate
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/03/2019 22:00:00,29.1898,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/03/2019 23:00:00,29.1516,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 00:00:00,34.6048,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 01:00:00,31.2905,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 02:00:00,26.7725,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 03:00:00,27.1527,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 04:00:00,27.0793,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 05:00:00,30.2588,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 06:00:00,32.657,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
Los Angeles,"East Los Angeles, Boyle Heights",South Coast AQMD,Central LA,34.0664,-118.2268,89,Thermo 42i,NO-0016730,42602,Nitrogen Dioxide (NO2),09/04/2019 07:00:00,34.1288,,ppb,,,Pass,Pass,Pass,Pass,Passed all checks,No,
